song,artist,view
마음 단단히 먹어 (Feat. 에일리),MC몽,838904.3529411765
Machine Gun (Feat. MINO),"KUSH (쿠시), Zion.T",836396.8695652174
정상을 향한 독주 2 (Feat. 김범수),주석,833843.4347826086
사랑이라 쓰고 아픔이라 부른다,서인영,830399.0434782609
Endless,플라워,829935.4782608695
나쁜놈 (Feat. 소야),마이티 마우스,821740.9130434783
내가 그리웠니 (Feat. 진실 Of Mad Soul Child),MC몽,819779.0909090909
자꾸 생각나,"소란 (SORAN), Sam Ock, 꽃잠프로젝트",819464.3181818182
똑 똑 똑,아이오아이 (I.O.I),817492.3913043478
짧은머리,"허각, 정은지",812159.0869565217
Simple Love (Feat. 나비),MC몽,811594.3333333334
축가,전우성 (노을),808168.7391304348
가끔 이러다,펀치 (Punch),800010.9130434783
여자로보여,콜딘 (Coldin),798821.3913043478
전쟁이야,엠블랙,797665.4347826086
까르보나라,김나희 (미스트롯),795791.9130434783
Good Morning Baby,Apink (에이핑크),794702.2173913043
내가 야! 하면 넌 예! (Duet With LYN),김태우,787530.3913043478
Would You Be My (Feat. Beenzino),팔로알토 (Paloalto),783216.5
바람의 유령,제국의아이들 (ZE:A),779492.0434782609
비정(非情),김경호,779237.4347826086
이별이란 게 뭐라고,임도혁,769077.0909090909
Must Have Love (Feat. 에릭남),가인,765334.2173913043
스토커 (Feat. 매드클라운) (Stalker),매드클라운,764635.5
바람꽃,이선희,763171.3478260869
금토일,달샤벳,758634.5217391305
알아요,"양파, 이보람, 소연",758455.7826086957
공일공 (010),이우,755940.3478260869
"일주일 (247) (Feat. Zion.T, Crush, DEAN)",정기고,754710.7826086957
후유증,제국의아이들 (ZE:A),754551.2173913043
"Femme Fatale (Feat. Tyra, Beenzino)",스윙스,750206.4
오락실,한스밴드,749913.9583333334
Flower,윤미래,749875.1818181818
알면 다쳐,Lim Kim,749681.0
하이힐,브레이브걸스,748601.8260869565
그대 돌아오면..,거미,747973.0434782609
얘가 이렇게 예뻤나,훈스 (HOONS),747854.875
내가 많이 사랑해요,이승철,746413.0869565217
I LUV U,헨리 (HENRY),738163.2608695652
쉼표,홍대광,736843.695652174
Break Away,빅마마,736815.5217391305
너와 함께 있음을,라디 (Ra. D),736193.7083333334
눈물이 주르륵,손담비,734311.0
Goodbye,웬디 (WENDY),733654.6521739131
부산 바캉스,레게 강 같은 평화(스컬&하하),731490.304347826
너에게로 또 다시,변진섭,730214.3478260869
"끌림 (바니와 오빠들 X 에릭남 (Eric Nam), 이나은 (에이프릴))","에릭남 (Eric Nam), 이나은 (에이프릴)",729245.0
사랑은 아프려고 하는 거죠,엠씨더맥스 (M.C the MAX),728871.6086956522
갈 수가 없어,벤,728360.3913043478
잠깐만요,어쿠루브,728122.9565217391
이 밤이 지나면,임재범,726355.7826086957
그대가 나를 본다면,반하나,717365.8695652174
천하무적 (Feat. 박장근 Of Supersta),MC몽,716570.5
내가 (Feat. Beenzino & The Quiett),Dok2,712189.1739130435
더 만나봤자 뭐해,지아,708824.1304347826
향수,"케이윌, 전우성 (노을)",704579.5909090909
첫 눈 그리고 첫 키스,"다니엘, 양요섭",701874.375
슬픔을 참는 세 가지 방법,혜령,695516.0434782609
그 남자를 떠나,god,695478.7391304348
부끄럼,멜로망스,691824.2173913043
나를 슬프게 하는 사람들,김경호,687127.2608695652
때려박는 랩 (Bonus Track) (Battlecry),매드클라운,685420.0869565217
비련,비비,684512.3913043478
Mr. Potter,DIA (다이아),683349.7826086957
이 밤의 끝,펀치 (Punch),683269.7916666666
원더우먼,"씨야, 다비치, 티아라",681157.0
편한 사람이 생겼어,일락,681100.6521739131
다시 만난 날,휘성 (Realslow),680842.3913043478
홀로 된다는 것,"변진섭,김영호",679249.8260869565
