,title,artist,album,genre,publisher,agency,pub_date,listeners,streams
526,그대와 둘이,브라운 아이드 소울 (Brown Eyed Soul),"The Wind,The Sea,The Rain",R&B/소울 / 가요,"지니뮤직, Stone Music Entertainment",갑엔터테인먼트,2007.10.30,112107,900352
527,봄비 (With 알리),김장훈,봄비,발라드 / 가요,카카오엔터테인먼트,공연세상,2012.03.22,32436,295657
528,여기요,Various Artists,미스트롯 FINAL STAGE,트로트 / 가요,카카오엔터테인먼트,㈜티조컬처앤컨텐츠,2019.05.02,114133,1044051
529,다시 너를,매드 클라운 (Mad Clown) & 김나영,태양의 후예 OST Part.5 (KBS2 수목드라마),드라마 / OST,뮤직앤뉴,"모스트콘텐츠, (주)뮤직앤뉴",2016.03.17,1158713,18814111
530,말해줘요,걸스데이 (Girl's Day),GIRL'S DAY PARTY #6,댄스 / 가요,㈜인터파크,㈜인터파크,2013.07.30,284292,2015614
531,우리 어머니,Various Artists,트롯 전국체전 PART.6,트로트 / 가요,카카오엔터테인먼트,포켓돌 스튜디오,2021.01.10,7350,90112
532,SEDANSOGU (세상에 단 하나뿐인 소중한 그대),수호 (SUHO),하와유브레드 OST (웹드라마),드라마 / OST,Dreamus,나이스드림미디어,2020.02.01,72282,2812423
533,누구보다 널 사랑해,비쥬 (Bijou),Love Is...,전체 / 가요,카카오엔터테인먼트,STC,1999.05.20,225051,1578676
534,DREAMLIKE,IZ*ONE (아이즈원),BLOOM*IZ,댄스 / 가요,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, OFF THE RECORD Entertainment",2020.02.17,91375,1214646
535,쇼크 (Remix),구피 (Goofy),Best Goofy,전체 / 가요,RIAK,,2001.11.01,11592,93660
536,빗물이 내려서,김태우,T-School,발라드 / 가요,3.14,소울샵엔터테인먼트,2011.03.29,71033,188137
537,지못미,iKON,WELCOME BACK,랩/힙합 / 가요,YG PLUS,(주)YG엔터테인먼트,2015.11.16,569338,7322060
538,위로,김범수 & 이승윤,유명가수전 Part.2,발라드 / 가요,카카오엔터테인먼트,JTBC스튜디오,2021.04.24,35512,210029
539,핑크빛 로맨스 (Pink Romance),케이윌 & 씨스타 & 보이프렌드,스타쉽 플래닛(STARSHIP PLANET),댄스 / 가요,카카오엔터테인먼트,스타쉽 엔터테인먼트,2011.11.25,94285,557708
540,떠날거야,쎄쎄쎄,떠날꺼야,전체 / 가요,RIAK,,1996.12.01,44108,466380
541,삼각형,러블리즈,Lovelyz 3rd Mini Album 'Fall In Lovelyz',댄스 / 가요,카카오엔터테인먼트,울림엔터테인먼트,2017.11.14,93201,1918368
542,겨울나기,이루 (Eru),Eru Returns,전체 / 가요,리얼네트웍스아시아퍼시픽(주),이루엔터테인먼트,2007.09.21,14103,46657
543,Lead Me,씨스타 (Sistar),ALONE,댄스 / 가요,카카오엔터테인먼트,스타쉽 엔터테인먼트,2012.04.12,88669,766794
544,전할 수 없는 이야기 (부제:시티 오브 엔젤),휘성 (Realslow),Like A Movie,R&B/소울 / 가요,YG PLUS,,2002.04.01,450507,3159130
545,바람인가요 (브라운아이드소울),Gayo Best,가요베스트 MR 16,발라드 / 가요,㈜다날엔터테인먼트,사운드섬,2013.12.03,106,263
546,하늘색 약속,지오디 (god),Chapter 8,전체 / 가요,카카오엔터테인먼트,"sidus HQ, god",2014.07.08,797270,9314144
547,"호러쇼 (Feat. 강호동, Whale)",MC몽,Humanimal Repackage,랩/힙합 / 가요,"지니뮤직, Stone Music Entertainment",M.A. Wild Dog,2009.10.06,60364,387931
548,PIPPI,투아이즈 (2EYES),3rd Single Album,댄스 / 가요,"지니뮤직, Stone Music Entertainment",㈜아이에이치큐 (iHQ),2015.08.26,52589,512209
549,하늘위로 (Feat. 김지은),렉시 (Lexy),RUSH,전체 / 가요,YG PLUS,(주)YG엔터테인먼트,2007.04.16,52621,265223
550,Dream Girls,아이오아이 (I.O.I),아이오아이 (I.O.I) 1st Mini Album 'Chrysalis',댄스 / 가요,지니뮤직,Stone Music Entertainment,2016.05.04,744507,8471703
551,알고있나요,Various Artists,꽃보다 남자 OST,드라마 / OST,미러볼뮤직,다해이엔티,2009.01.08,376644,4419927
552,FIVE,Apink (에이핑크),Pink UP,댄스 / 가요,카카오엔터테인먼트,플랜에이 엔터테인먼트,2017.06.26,1309302,22128118
553,DAY BY DAY,티아라 (T-ara),DAY BY DAY,댄스 / 가요,㈜인터파크,㈜인터파크,2012.07.03,725134,7135527
554,잘 있나요,The One (더원),구가의 서 OST Part.6 (MBC 월화드라마),드라마 / OST,㈜다날엔터테인먼트,다해이엔티,2013.05.20,505805,4755681
555,보통 같으면,한동근,보통 같으면,발라드 / 가요,카카오엔터테인먼트,OXO 프로젝트,2020.04.20,262269,3161084
556,아파 (Slow),2NE1,To Anyone,댄스 / 가요,YG PLUS,(주)YG엔터테인먼트,2010.09.09,802142,6925662
557,하고싶은 말,김태우,김태우 Solo Special Album,발라드 / 가요,카카오엔터테인먼트,소울샵엔터테인먼트,2006.10.26,482233,4307838
558,내 생애 가장 행복한 시간 Part.2 (Feat. 양다일),MC몽,CHANNEL 8,랩/힙합 / 가요,Dreamus,(주)밀리언마켓,2019.10.25,1293696,18331205
559,남자는 배 여자는 항구,Various Artists,트롯 전국체전 PART.2,트로트 / 가요,카카오엔터테인먼트,포켓돌 스튜디오,2020.12.13,10471,99391
560,그댈 새겨두어요 (바른연애 길잡이 X 린),린 (LYn),그댈 새겨두어요 (바른연애 길잡이 X 린),발라드 / 가요,카카오엔터테인먼트,"TOON STUDIO, 느을",2021.03.03,164145,1161949
561,나도 모르는 노래 (Hallelujah),김필,사이코지만 괜찮아 OST Part.5 (tvN 토일드라마),드라마 / OST,NHN벅스,모스트콘텐츠,2020.07.19,232261,1680825
562,Beautiful Target,B1A4,It B1A4,댄스 / 가요,Sony Music,WM엔터테인먼트,2011.09.16,148141,1110406
563,그리운 건 어쩔 수 없어,Various Artists,오버 더 레인보우 OST (MBC 미니시리즈),전체 / OST,오감엔터테인먼트,도레미미디어,2006.07.31,9829,58931
564,About Love,Red Velvet (레드벨벳),Perfect Velvet - The 2nd Album,댄스 / 가요,Dreamus,SM ENTERTAINMENT,2017.11.17,120503,1392191
565,너 없인 안 된다 (비투비) (MR),모두의MR,모두의 MR반주 101,전체 / 가요,포스티브,포스티브,2018.08.01,743,3283
566,Wing,박지훈,The W,댄스 / 가요,NHN벅스,마루기획㈜,2020.05.26,70010,4217425
567,오늘따라 예쁘다,윤딴딴 & 은하 (EUNHA),더 패키지 OST - Part.5 (JTBC 금토드라마),드라마 / OST,NHN벅스,모스트콘텐츠,2017.11.03,187943,1736094
568,TTL Listen 2,티아라 & 초신성,TTL Listen 2 (Digital Single),댄스 / 가요,㈜다날엔터테인먼트,코어컨텐츠미디어,2009.10.09,284230,2050221
569,짠쿵쾅,MOMOLAND (모모랜드),Welcome To MOMOLAND,댄스 / 가요,카카오엔터테인먼트,"(주)엠엘디엔터테인먼트, 카카오엔터테인먼트",2016.11.10,95051,874036
570,편한 사람이 생겼어 (Duet. 브랜뉴데이 채린),일 락,3집 Part.1,전체 / 가요,지니뮤직,CANENT,2009.05.07,228806,2530762
571,좋은 길,김형중,Holiday,발라드 / 가요,NHN벅스,드라뮤지끄,2009.12.11,5618,47098
572,Really Like You,IZ*ONE (아이즈원),HEART*IZ,댄스 / 가요,"지니뮤직, Stone Music Entertainment","Stone Music Entertainment, OFF THE RECORD Entertainment",2019.04.01,92491,1699819
573,듣고싶어 (E905),다이아 (DIA),LOVE GENERATION,댄스 / 가요,㈜인터파크,MBK엔터테인먼트,2017.08.22,174537,1949754
574,갖고놀래 (Feat. 다이나믹 듀오),범키,갖고놀래,R&B/소울 / 가요,카카오엔터테인먼트,브랜뉴뮤직 (Brand New Music),2013.08.16,911186,12621287
575,흩어져,먼데이 키즈 (Monday Kiz),New Sentimental (Digital Single),R&B/소울 / 가요,뮤직앤뉴,CANENT,2010.04.20,542917,6159968
576,Fighter,몬스타엑스,THE CLAN Pt.2 'GUILTY',랩/힙합 / 가요,카카오엔터테인먼트,스타쉽 엔터테인먼트,2016.10.04,49661,962440
577,내 이름은,티아라 (T-ara),What's My Name?,댄스 / 가요,㈜인터파크,MBK엔터테인먼트,2017.06.14,153386,1607584
578,Something,죠지 & 강혜인,내 아이디는 강남미인 OST Part.4 (JTBC 금토드라마),드라마 / OST,워너뮤직,withHC,2018.08.17,68468,779806
579,사랑이 온다,백지영 & 치타 (CHEETAH),Girl Crush,댄스 / 가요,카카오엔터테인먼트,더블킥엔터테인먼트,2016.02.29,352252,2419178
580,붙잡았어야 해,ASTRO (아스트로),Winter Dream,발라드 / 가요,카카오엔터테인먼트,판타지오뮤직,2017.02.22,54920,961398
581,솔직히 말할까 (Narr. 다솜 of 씨스타) (Honestly),몬스타엑스,TRESPASS,랩/힙합 / 가요,카카오엔터테인먼트,스타쉽 엔터테인먼트,2015.05.14,82095,1228564
582,봄 (Feat. 산다라박),박봄 (Park Bom),Spring,R&B/소울 / 가요,㈜다날엔터테인먼트,디네이션,2019.03.13,1608867,27867006
